
"Legs · Day 5 · Week 43 · Upper/Lower PPL","2026-03-28 1:00 pm","1:37 hr"
"1. Deadlifts · Barbell · 8 reps"
#,KG,REPS
2,17.5,10
3,17.5,10
"5. Triceps Pushdowns · Cable · 15 reps"
#,KG,REPS
1,15,15
2,15,10
3,15,10
"6. Rowing Machine · Machine"
#,KM,MINS
1,0.5,2:50

"Legs · Day 5 · Week 38 · Upper/Lower PPL","2025-09-02 11:34 pm","1 min"
"1. ISO Lateral Bench Press · Machine · 10 reps"
#,KG,REPS
1,70,8
2,70,6
3,70,6
"2. Deadlifts · Barbell · 10 reps"
#,KG,REPS
1,70,6
2,70,6
3,70,6

"Pull · Day 4 · Week 38 · Upper/Lower PPL","2025-08-31 9:33 pm","1:07 hr"
"1. ISO Lateral Bench Press · Machine · 8 reps"
#,KG,REPS
1,60,10
2,60,8
3,60,7
4,60,7
5,60,7
"2. ISO lateral shoulder press · Machine · 10 reps"
#,KG,REPS
1,50,10
2,50,10
3,50,10
"3. Seated Dip · Machine · 10 reps"
#,KG,REPS
1,60,12
2,60,15
3,80,15
"4. Lateral Raises · Machine · 10 reps"
#,KG,REPS
1,15,11
2,15,7
3,15,6
"5. Triceps Pushdowns · Cable · 12 reps · 1 dropset"
#,KG,REPS
1,20,12
2,20,8
3,20,7

"Push · Standalone workout","2025-08-29 3:19 pm","49 min"
"1. Bench Press · Dumbbells · 8 reps"
#,KG,REPS
1,52,10
2,52,10
3,52,10
"2. Seated Shoulder Press · Dumbbells · 10 reps"
#,KG,REPS
1,32,10
2,32,10
3,32,10
"3. Lateral Raises · Dumbbells · 10 reps"
#,KG,REPS
1,10,10
2,10,10
3,10,8
"4. Curls · Dumbbells · 10 reps"
#,KG,REPS
1,20,10
2,20,12
3,20,12
"5. Overhead Triceps Extensions · Dumbbells · 10 reps"
#,KG,REPS
1,10,10
2,10,12

"Push · Standalone workout","2025-08-24 7:16 pm","41 min"
"1. Bench Press · Dumbbells · 8 reps"
#,KG,REPS
1,48,14
2,48,11
3,48,10
"2. Seated Shoulder Press · Dumbbells · 10 reps"
#,KG,REPS
1,28,12
2,28,12
3,28,12
"3. Triceps Pushdowns · Cable · 10 reps"
#,KG,REPS
1,20,15
2,20,10
3,20,10

"Upper · Day 1 · Week 38 · Upper/Lower PPL","2025-08-19 3:30 pm","52 min"
"1. Bench Press · Barbell · 8 reps"
#,KG,REPS
1,60,10
2,60,10
3,60,9
"2. Face Pulls with Rope · Cable · 10 reps"
#,KG,REPS
1,20,15
2,20,16
3,20,16
"3. Triceps Pushdowns · Cable · 15 reps"
#,KG,REPS
1,20,15
2,20,13
3,20,9
"4. Standing Shoulder Press · Barbell · 10 reps"
#,KG,REPS
1,30,8
2,30,8
3,30,8
"5. ISO lateral front lat pulldown · Machine · 15 reps"
#,KG,REPS
1,70,7
2,70,8
3,70,6

"Lower · Day 2 · Week 38 · Upper/Lower PPL","2025-08-16 12:52 am","30 min"
"1. Deadlifts · Barbell · 8 reps"
#,KG,REPS
1,60,10
2,60,10
3,60,10
"2. Rowing Machine · Machine"
#,KM,MINS
1,5,23:30

"Push · Day 3 · Week 38 · Upper/Lower PPL","2025-08-14 3:17 pm","28 min"
"1. Bench Press · Barbell · 8 reps"
#,KG,REPS
1,60,12
2,60,12
3,60,8
"2. Lateral Raises · Dumbbells · 10 reps"
#,KG,REPS
1,10,12
2,10,11
3,10,9
"3. Triceps Pushdowns · Cable · 10 reps"
#,KG,REPS
1,20,15
2,20,10
3,20,7

"Pull · Standalone workout","2025-08-12 12:21 am","25 min"
"1. ISO lateral front lat pulldown · Machine · 10 reps"
#,KG,REPS
1,70,6
2,70,8
3,70,6
"2. ISO lateral low row · Machine · 8 reps"
#,KG,REPS
1,50,10
2,50,10
3,50,7
"3. Curls · Dumbbells · 12 reps"
#,KG,REPS
1,24,13
2,24,12
3,24,11

"Push · Standalone workout","2025-08-09 9:46 pm","41 min"
"1. Bench Press · Barbell · 10 reps"
#,KG,REPS
1,60,8
2,60,8
3,60,8
"2. ISO lateral shoulder press · Machine · 8 reps"
#,KG,REPS
1,40,10
2,40,10
3,40,10
"3. ISO Lateral Bench Press · Machine · 10 reps"
#,KG,REPS
1,40,10
2,40,10
3,40,10
"4. Triceps Pushdowns · Cable · 10 reps"
#,KG,REPS
1,20,12
2,20,10
3,20,8

"Lower · Day 2 · Week 37 · Upper/Lower PPL","2025-07-22 3:25 pm","34 min"
"1. Bench Press · Barbell · 10 reps"
#,KG,REPS
1,60,10
2,60,10
3,60,10
"2. Standing Shoulder Press · Barbell · 10 reps"
#,KG,REPS
1,20,10
2,20,12
3,20,12
"3. Squats · Barbell · 8 reps"
#,KG,REPS
1,50,10
2,50,10
3,50,10

"Push · Standalone workout","2025-07-20 10:03 pm","52 min"
"1. ISO Lateral Bench Press · Machine · 10 reps"
#,KG,REPS
1,60,10
2,60,10
3,60,9
"2. Seated Shoulder Press · Dumbbells · 8 reps"
#,KG,REPS
1,28,12
2,28,11
3,28,11
"3. Triceps Pushdowns · Cable · 10 reps"
#,KG,REPS
1,25,12
2,25,8
3,20,12
"4. Curls · Dumbbells · 10 reps"
#,KG,REPS
1,24,12
2,24,12
3,24,11

"Pull · Day 4 · Week 37 · Upper/Lower PPL","2025-07-18 12:27 am","35 min"
"1. ISO Lateral Bench Press · Machine · 8 reps"
#,KG,REPS
1,60,8
2,60,8
3,60,6
"2. ISO lateral front lat pulldown · Machine · 10 reps"
#,KG,REPS
1,70,8
2,70,8
3,70,6
"3. Face Pulls with Rope · Cable · 10 reps"
#,KG,REPS
1,21.25,15
2,21.25,14
3,21.25,10
"4. Curls · Dumbbells · 12 reps"
#,KG,REPS
1,24,12
2,24,11
3,24,9

"Upper · Day 1 · Week 37 · Upper/Lower PPL","2025-07-16 4:00 pm","42 min"
"1. Bench Press · Barbell · 8 reps"
#,KG,REPS
1,60,10
2,60,10
3,60,8
"2. Rows with Close Grip · Cable · 10 reps"
#,KG,REPS
1,35,12
2,35,10
3,35,8
"3. Standing Shoulder Press · Barbell · 10 reps"
#,KG,REPS
1,30,8
2,30,10
3,30,9
"4. Assisted Pull-Ups with Wide Grip · Machine · 8 reps"
#,KG,REPS
1,-21.88,6
2,-21.88,6
3,-21.88,6

"Push · Day 3 · Week 37 · Upper/Lower PPL","2025-07-09 3:19 pm","43 min"
"1. ISO Lateral Bench Press · Machine · 10 reps"
#,KG,REPS
1,60,10
2,60,9
3,60,10
"2. ISO lateral shoulder press · Machine · 8 reps"
#,KG,REPS
1,45,10
2,45,10
3,45,10
"3. Triceps Pushdowns · Cable · 10 reps"
#,KG,REPS
1,20,15
2,20,11
3,20,10
"4. Lateral Raises · Dumbbells · 10 reps"
#,KG,REPS
1,10,10
2,10,10
3,10,10

"Legs · Day 5 · Week 36 · Upper/Lower PPL","2025-07-06 4:50 pm","29 min"
"1. Deadlifts · Barbell · 8 reps"
#,KG,REPS
1,70,10
2,70,12
3,70,10
"2. Leg Extensions · Machine · 10 reps"
#,KG,REPS
1,40,12
2,40,12
3,40,12
"3. Seated Calf Raises · Machine · 10 reps"
#,KG,REPS
1,40,15
2,40,15
3,40,12

"Upper · Standalone workout","2025-07-05 9:45 pm","35 min"
"1. Incline Bench Press · Barbell · 8 reps · 2 dropsets"
#,KG,REPS
1,50,10
2,50,9
3,50,8
"2. ISO lateral shoulder press · Machine · 10 reps"
#,KG,REPS
1,30,15
2,30,15
3,30,15
"3. Triceps Pushdowns · Cable · 15 reps"
#,KG,REPS
1,20,14
2,20,12
3,20,11

"Push · Standalone workout","2025-07-02 10:59 pm","1:08 hr"
"1. Incline Bench Press · Barbell · 8 reps"
#,KG,REPS
1,50,9
2,50,9
3,50,8
"2. Lateral Raises · Machine · 10 reps"
#,KG,REPS
1,12.5,12
2,15,7
3,15,5
"3. Seated Dip · Machine · 10 reps"
#,KG,REPS
1,80,10
2,80,12
3,80,10
"4. Butterfly with Wide Grip · Machine · 10 reps"
#,KG,REPS
1,40,10
2,40,10
3,40,10
"5. Triceps Pushdowns · Cable · 10 reps"
#,KG,REPS
1,20,12
2,20,12
3,20,11

"Push · Standalone workout","2025-06-21 9:48 pm","59 min"
"1. Bench Press · Barbell · 8 reps"
#,KG,REPS
1,65,8
2,65,8
3,65,7
"2. Seated Dip · Machine · 10 reps"
#,KG,REPS
1,70,8
2,70,10
3,70,12
"3. Lateral Raises · Machine · 10 reps"
#,KG,REPS
1,12.5,10
2,12.5,9
3,12.5,7
"4. Standing Shoulder Press · Barbell · 10 reps"
#,KG,REPS
1,20,10
2,20,10
3,20,12
"5. Triceps Pushdowns · Cable · 10 reps"
#,KG,REPS
1,20,14
2,20,12
3,20,10

"Pull · Standalone workout","2025-06-18 3:00 pm","40 min"
"1. Assisted Pull-Ups with Wide Grip · Machine · 8 reps"
#,KG,REPS
1,-28.1,10
2,-28.1,10
3,-28.1,10
"2. Assisted Chest Dips · Machine · 10 reps"
#,KG,REPS
1,-28.1,12
